FeatureCode,DateCode,Measurement,Units,Value,Age
S12000036,2018,Count,Cards,105280,60 years and over
S12000036,2010,Count,Cards,86689,60 years and over
S12000036,2007,Count,Cards,78002,60 years and over
S12000036,2014,Count,Cards,110752,All
S12000036,2017,Count,Cards,115228,All
S12000036,2007,Count,Cards,92470,All
S12000036,2011,Count,Cards,105142,All
S12000036,2010,Count,Cards,102644,All
S12000036,2013,Count,Cards,108514,All
S12000036,2012,Count,Cards,107679,All
S12000036,2020,Count,Cards,129074,All
S12000036,2016,Count,Cards,97893,60 years and over
S12000036,2017,Count,Cards,100253,60 years and over
S12000036,2014,Count,Cards,97415,60 years and over
S12000036,2006,Count,Cards,85360,All
S12000036,2012,Count,Cards,91005,60 years and over
S12000036,2011,Count,Cards,88723,60 years and over
S12000036,2020,Count,Cards,114616,60 years and over
S12000038,2019,Count,Cards,41696,60 years and over
S12000038,2017,Count,Cards,43979,All
S12000038,2007,Count,Cards,31701,60 years and over
S12000038,2011,Count,Cards,35044,60 years and over
S12000038,2012,Count,Cards,35655,60 years and over
S12000038,2019,Count,Cards,48052,All
S12000038,2013,Count,Cards,37990,60 years and over
S12000038,2016,Count,Cards,37247,60 years and over
S12000038,2014,Count,Cards,43532,All
S12000038,2018,Count,Cards,39667,60 years and over
S12000038,2015,Count,Cards,38667,60 years and over
S12000038,2011,Count,Cards,41815,All
S12000038,2010,Count,Cards,41113,All
S12000038,2013,Count,Cards,43103,All
S12000038,2012,Count,Cards,42539,All
S12000038,2016,Count,Cards,43278,All
S12000038,2018,Count,Cards,45936,All
S12000038,2020,Count,Cards,43063,60 years and over
S12000038,2020,Count,Cards,48702,All
S12000038,2014,Count,Cards,37889,60 years and over
S12000038,2017,Count,Cards,37850,60 years and over
S12000038,2015,Count,Cards,44550,All
S12000038,2007,Count,Cards,37711,All
S12000038,2006,Count,Cards,29213,60 years and over
S12000038,2010,Count,Cards,34471,60 years and over
S12000038,2006,Count,Cards,34880,All
S12000041,2011,Count,Cards,26488,60 years and over
S12000041,2017,Count,Cards,28907,60 years and over
S12000041,2010,Count,Cards,25686,60 years and over
S12000041,2020,Count,Cards,34578,All
S12000041,2012,Count,Cards,27069,60 years and over
S12000041,2013,Count,Cards,28798,60 years and over
S12000041,2014,Count,Cards,31516,All
S12000041,2018,Count,Cards,29925,60 years and over
S12000041,2015,Count,Cards,30214,60 years and over
S12000041,2016,Count,Cards,31952,All
S12000041,2020,Count,Cards,31889,60 years and over
S12000041,2006,Count,Cards,20356,60 years and over
S12000041,2017,Count,Cards,31695,All
S12000041,2019,Count,Cards,31141,60 years and over
S12000041,2015,Count,Cards,32681,All
S12000041,2014,Count,Cards,29311,60 years and over
S12000041,2018,Count,Cards,32871,All
S12000041,2019,Count,Cards,34263,All
S12000041,2006,Count,Cards,21688,All
S12000041,2011,Count,Cards,28820,All
S12000041,2012,Count,Cards,29551,All
S12000041,2016,Count,Cards,29353,60 years and over
S12000041,2010,Count,Cards,27836,All
S12000041,2013,Count,Cards,30569,All
S12000041,2007,Count,Cards,24216,All
S12000041,2007,Count,Cards,22620,60 years and over
S12000042,2017,Count,Cards,37422,All
S12000042,2015,Count,Cards,31461,60 years and over
S12000042,2013,Count,Cards,31491,60 years and over
S12000042,2019,Count,Cards,39489,All
S12000042,2010,Count,Cards,30305,60 years and over
S12000042,2015,Count,Cards,37144,All
S12000042,2020,Count,Cards,38869,All
S12000042,2011,Count,Cards,30118,60 years and over
S12000042,2018,Count,Cards,31749,60 years and over
S12000042,2020,Count,Cards,32771,60 years and over
S12000042,2019,Count,Cards,32591,60 years and over
S12000042,2014,Count,Cards,31435,60 years and over
S12000042,2017,Count,Cards,31064,60 years and over
S12000042,2018,Count,Cards,38225,All
S12000042,2007,Count,Cards,33330,All
S12000042,2016,Count,Cards,30500,60 years and over
S12000042,2011,Count,Cards,35303,All
S12000042,2010,Count,Cards,35365,All
S12000042,2006,Count,Cards,30700,All
S12000042,2012,Count,Cards,30387,60 years and over
S12000042,2016,Count,Cards,36663,All
S12000042,2006,Count,Cards,27252,60 years and over
S12000042,2013,Count,Cards,35740,All
S12000042,2007,Count,Cards,29314,60 years and over
S12000042,2014,Count,Cards,36481,All
S12000042,2012,Count,Cards,35867,All
S12000045,2018,Count,Cards,30859,All
S12000045,2016,Count,Cards,27257,60 years and over
S12000045,2020,Count,Cards,32856,All
S12000045,2020,Count,Cards,30874,60 years and over
S12000045,2015,Count,Cards,29571,All
S12000045,2007,Count,Cards,20916,60 years and over
S12000045,2017,Count,Cards,27406,60 years and over
S12000045,2010,Count,Cards,24076,60 years and over
S12000045,2019,Count,Cards,32259,All
S12000045,2006,Count,Cards,19067,60 years and over
S12000045,2016,Count,Cards,29377,All
S12000045,2014,Count,Cards,26620,60 years and over
S12000045,2011,Count,Cards,24599,60 years and over
S12000045,2012,Count,Cards,27424,All
S12000045,2010,Count,Cards,26209,All
S12000045,2013,Count,Cards,28119,All
S12000045,2018,Count,Cards,28647,60 years and over
S12000045,2015,Count,Cards,27470,60 years and over
S12000045,2011,Count,Cards,26780,All
S12000045,2019,Count,Cards,30029,60 years and over
S12000045,2014,Count,Cards,28637,All
S12000045,2012,Count,Cards,25110,60 years and over
S12000045,2017,Count,Cards,29563,All
S12000045,2007,Count,Cards,22731,All
S12000045,2013,Count,Cards,26329,60 years and over
S12000045,2006,Count,Cards,20727,All
S08000015,2014,Count,Cards,104256,All
S08000015,2013,Count,Cards,91655,60 years and over
S08000015,2014,Count,Cards,91644,60 years and over
S08000015,2012,Count,Cards,101750,All
S08000015,2012,Count,Cards,86242,60 years and over
S08000015,2013,Count,Cards,103104,All
S08000016,2014,Count,Cards,31669,All
S08000016,2013,Count,Cards,31675,All
S08000016,2012,Count,Cards,31024,All
S08000016,2014,Count,Cards,29470,60 years and over
S08000016,2013,Count,Cards,29757,60 years and over
S08000016,2012,Count,Cards,28046,60 years and over
S08000017,2014,Count,Cards,37884,60 years and over
S08000017,2012,Count,Cards,36094,60 years and over
S08000017,2013,Count,Cards,39979,All
S08000017,2013,Count,Cards,37331,60 years and over
S08000017,2014,Count,Cards,40929,All
S08000017,2012,Count,Cards,40050,All
S08000019,2013,Count,Cards,67405,All
S08000019,2014,Count,Cards,68939,All
S08000019,2012,Count,Cards,67992,All
S08000019,2014,Count,Cards,61768,60 years and over
S08000019,2013,Count,Cards,61253,60 years and over
S08000019,2012,Count,Cards,59051,60 years and over
S08000020,2012,Count,Cards,125860,All
S08000020,2012,Count,Cards,111370,60 years and over
S08000020,2013,Count,Cards,131176,All
S08000020,2014,Count,Cards,129910,All
S08000020,2013,Count,Cards,121699,60 years and over
S08000020,2014,Count,Cards,118932,60 years and over
S08000022,2013,Count,Cards,85233,All
S08000022,2014,Count,Cards,79575,60 years and over
S08000022,2013,Count,Cards,78973,60 years and over
S08000022,2012,Count,Cards,74369,60 years and over
S08000022,2012,Count,Cards,83444,All
S08000022,2014,Count,Cards,86649,All
S08000024,2012,Count,Cards,189085,All
S08000024,2013,Count,Cards,171768,60 years and over
S08000024,2013,Count,Cards,191154,All
S08000024,2012,Count,Cards,161743,60 years and over
S08000024,2014,Count,Cards,195932,All
S08000024,2014,Count,Cards,173225,60 years and over
S08000025,2014,Count,Cards,5546,60 years and over
S08000025,2014,Count,Cards,6069,All
S08000025,2012,Count,Cards,5248,60 years and over
S08000025,2013,Count,Cards,5881,All
S08000025,2012,Count,Cards,5851,All
S08000025,2013,Count,Cards,5412,60 years and over
S08000026,2014,Count,Cards,5916,All
S08000026,2012,Count,Cards,5740,All
S08000026,2014,Count,Cards,5460,60 years and over
S08000026,2013,Count,Cards,5779,All
S08000026,2013,Count,Cards,5409,60 years and over
S08000026,2012,Count,Cards,5182,60 years and over
S08000028,2012,Count,Cards,7839,All
S08000028,2013,Count,Cards,7966,All
S08000028,2012,Count,Cards,7395,60 years and over
S08000028,2013,Count,Cards,7671,60 years and over
S08000028,2014,Count,Cards,7778,60 years and over
S08000028,2014,Count,Cards,8131,All
S12000047,2017,Count,Cards,100652,All
S12000047,2006,Count,Cards,59949,60 years and over
S12000047,2007,Count,Cards,81925,All
S12000047,2020,Count,Cards,92435,60 years and over
S12000047,2011,Count,Cards,92915,All
S12000047,2010,Count,Cards,90761,All
S12000047,2012,Count,Cards,95055,All
S12000047,2019,Count,Cards,91574,60 years and over
S12000047,2015,Count,Cards,85762,60 years and over
S12000047,2016,Count,Cards,84011,60 years and over
S12000047,2012,Count,Cards,78507,60 years and over
S12000047,2007,Count,Cards,65342,60 years and over
S12000047,2006,Count,Cards,76014,All
S12000047,2013,Count,Cards,82738,60 years and over
S12000047,2014,Count,Cards,84102,60 years and over
S12000047,2010,Count,Cards,74058,60 years and over
S12000047,2020,Count,Cards,106031,All
S12000047,2017,Count,Cards,86640,60 years and over
S12000047,2018,Count,Cards,103168,All
S12000047,2016,Count,Cards,97970,All
S12000047,2019,Count,Cards,106139,All
S12000047,2015,Count,Cards,99745,All
S12000047,2014,Count,Cards,97615,All
S12000047,2011,Count,Cards,76495,60 years and over
S12000047,2013,Count,Cards,95287,All
S12000047,2018,Count,Cards,89126,60 years and over
S12000048,2020,Count,Cards,39319,60 years and over
S12000048,2020,Count,Cards,42645,All
S12000048,2019,Count,Cards,42986,All
S12000048,2006,Count,Cards,24634,60 years and over
S12000048,2010,Count,Cards,32097,60 years and over
S12000048,2010,Count,Cards,34840,All
S12000048,2016,Count,Cards,36775,60 years and over
S12000048,2015,Count,Cards,37313,60 years and over
S12000048,2007,Count,Cards,27727,60 years and over
S12000048,2007,Count,Cards,29799,All
S12000048,2011,Count,Cards,33395,60 years and over
S12000048,2006,Count,Cards,26287,All
S12000048,2012,Count,Cards,34268,60 years and over
S12000048,2013,Count,Cards,36249,60 years and over
S12000048,2013,Count,Cards,38601,All
S12000048,2014,Count,Cards,39316,All
S12000048,2012,Count,Cards,37443,All
S12000048,2016,Count,Cards,40008,All
S12000048,2017,Count,Cards,40003,All
S12000048,2015,Count,Cards,40316,All
S12000048,2017,Count,Cards,36591,60 years and over
S12000048,2014,Count,Cards,36580,60 years and over
S12000048,2018,Count,Cards,37873,60 years and over
S12000048,2018,Count,Cards,41434,All
S12000048,2011,Count,Cards,36315,All
S12000048,2019,Count,Cards,39210,60 years and over
S08000029,2013,Count,Cards,82738,60 years and over
S08000029,2014,Count,Cards,84102,60 years and over
S08000029,2012,Count,Cards,78507,60 years and over
S08000029,2013,Count,Cards,95287,All
S08000029,2012,Count,Cards,95055,All
S08000029,2014,Count,Cards,97615,All
S08000030,2014,Count,Cards,97326,60 years and over
S08000030,2014,Count,Cards,107313,All
S08000030,2013,Count,Cards,96538,60 years and over
S08000030,2012,Count,Cards,102861,All
S08000030,2013,Count,Cards,104910,All
S08000030,2012,Count,Cards,91724,60 years and over
S12000049,2015,Count,Cards,100716,60 years and over
S12000049,2006,Count,Cards,81312,60 years and over
S12000049,2011,Count,Cards,125206,All
S12000049,2010,Count,Cards,123424,All
S12000049,2010,Count,Cards,92732,60 years and over
S12000049,2018,Count,Cards,132711,All
S12000049,2018,Count,Cards,101549,60 years and over
S12000049,2007,Count,Cards,115296,All
S12000049,2006,Count,Cards,107167,All
S12000049,2017,Count,Cards,127175,All
S12000049,2016,Count,Cards,126628,All
S12000049,2013,Count,Cards,126648,All
S12000049,2014,Count,Cards,126606,All
S12000049,2015,Count,Cards,130412,All
S12000049,2019,Count,Cards,139796,All
S12000049,2020,Count,Cards,112267,60 years and over
S12000049,2019,Count,Cards,107898,60 years and over
S12000049,2012,Count,Cards,127442,All
S12000049,2020,Count,Cards,140481,All
S12000049,2013,Count,Cards,100036,60 years and over
S12000049,2014,Count,Cards,98617,60 years and over
S12000049,2016,Count,Cards,96488,60 years and over
S12000049,2011,Count,Cards,93155,60 years and over
S12000049,2012,Count,Cards,94371,60 years and over
S12000049,2007,Count,Cards,87773,60 years and over
S12000049,2017,Count,Cards,96518,60 years and over
S12000050,2007,Count,Cards,61671,All
S12000050,2006,Count,Cards,56620,All
S12000050,2010,Count,Cards,68413,All
S12000050,2015,Count,Cards,75591,All
S12000050,2014,Count,Cards,73315,All
S12000050,2017,Count,Cards,74623,All
S12000050,2016,Count,Cards,73635,All
S12000050,2012,Count,Cards,71716,All
S12000050,2011,Count,Cards,70016,All
S12000050,2013,Count,Cards,72266,All
S12000050,2016,Count,Cards,62508,60 years and over
S12000050,2014,Count,Cards,62828,60 years and over
S12000050,2020,Count,Cards,80921,All
S12000050,2007,Count,Cards,50033,60 years and over
S12000050,2012,Count,Cards,59005,60 years and over
S12000050,2019,Count,Cards,81074,All
S12000050,2017,Count,Cards,63350,60 years and over
S12000050,2013,Count,Cards,62695,60 years and over
S12000050,2019,Count,Cards,69617,60 years and over
S12000050,2020,Count,Cards,70727,60 years and over
S12000050,2010,Count,Cards,56338,60 years and over
S12000050,2006,Count,Cards,45325,60 years and over
S12000050,2011,Count,Cards,57599,60 years and over
S12000050,2018,Count,Cards,77645,All
S12000050,2015,Count,Cards,64600,60 years and over
S12000050,2018,Count,Cards,66345,60 years and over
S08000021,2014,Count,Cards,265340,All
S08000021,2012,Count,Cards,209854,60 years and over
S08000021,2013,Count,Cards,222093,60 years and over
S08000021,2014,Count,Cards,220872,60 years and over
S08000021,2012,Count,Cards,263560,All
S08000021,2013,Count,Cards,263475,All
S08000023,2012,Count,Cards,121377,60 years and over
S08000023,2013,Count,Cards,128917,60 years and over
S08000023,2013,Count,Cards,146789,All
S08000023,2012,Count,Cards,145243,All
S08000023,2014,Count,Cards,129341,60 years and over
S08000023,2014,Count,Cards,149083,All
