FeatureCode,DateCode,Measurement,Units,Value,Age
S12000006,2018,Count,Cards,42935,All
S12000006,2012,Count,Cards,36094,60 years and over
S12000006,2011,Count,Cards,34969,60 years and over
S12000006,2015,Count,Cards,38896,60 years and over
S12000008,2010,Count,Cards,24569,60 years and over
S12000008,2011,Count,Cards,25088,60 years and over
S12000008,2018,Count,Cards,27656,60 years and over
S12000008,2015,Count,Cards,32162,All
S12000008,2014,Count,Cards,27173,60 years and over
S12000008,2016,Count,Cards,26770,60 years and over
S12000008,2017,Count,Cards,26924,60 years and over
S12000008,2017,Count,Cards,31499,All
S12000008,2018,Count,Cards,32392,All
S12000008,2020,Count,Cards,33206,All
S12000008,2016,Count,Cards,31210,All
S12000008,2015,Count,Cards,27787,60 years and over
S12000008,2020,Count,Cards,28946,60 years and over
S12000008,2006,Count,Cards,20127,60 years and over
S12000008,2019,Count,Cards,33399,All
S12000008,2013,Count,Cards,31013,All
S12000008,2014,Count,Cards,31397,All
S12000008,2019,Count,Cards,28538,60 years and over
S12000008,2007,Count,Cards,22066,60 years and over
S12000008,2013,Count,Cards,27238,60 years and over
S12000008,2012,Count,Cards,25621,60 years and over
S12000008,2011,Count,Cards,29987,All
S12000008,2007,Count,Cards,26322,All
S12000008,2010,Count,Cards,29289,All
S12000008,2006,Count,Cards,24106,All
S12000008,2012,Count,Cards,30704,All
S12000010,2017,Count,Cards,24968,60 years and over
S12000010,2012,Count,Cards,22057,60 years and over
S12000010,2007,Count,Cards,18367,60 years and over
S12000010,2019,Count,Cards,26928,60 years and over
S12000010,2014,Count,Cards,23650,60 years and over
S12000010,2015,Count,Cards,26523,All
S12000010,2016,Count,Cards,26382,All
S12000010,2015,Count,Cards,24080,60 years and over
S12000010,2018,Count,Cards,25874,60 years and over
S12000010,2013,Count,Cards,23224,60 years and over
S12000010,2020,Count,Cards,27278,60 years and over
S12000010,2007,Count,Cards,21121,All
S12000010,2006,Count,Cards,19557,All
S12000010,2017,Count,Cards,27512,All
S12000010,2019,Count,Cards,29704,All
S12000010,2011,Count,Cards,21381,60 years and over
S12000010,2020,Count,Cards,29721,All
S12000010,2010,Count,Cards,20846,60 years and over
S12000010,2006,Count,Cards,16860,60 years and over
S12000010,2014,Count,Cards,26010,All
S12000010,2013,Count,Cards,25244,All
S12000010,2018,Count,Cards,28517,All
S12000010,2016,Count,Cards,23936,60 years and over
S12000010,2011,Count,Cards,23271,All
S12000010,2010,Count,Cards,22664,All
S12000010,2012,Count,Cards,24083,All
S12000011,2015,Count,Cards,23010,All
S12000011,2019,Count,Cards,25185,All
S12000011,2018,Count,Cards,22173,60 years and over
S12000011,2019,Count,Cards,23220,60 years and over
S12000011,2018,Count,Cards,24091,All
S12000011,2007,Count,Cards,17963,All
S12000011,2011,Count,Cards,21960,All
S12000011,2010,Count,Cards,21552,All
S12000011,2017,Count,Cards,23080,All
S12000011,2020,Count,Cards,25165,All
S12000011,2006,Count,Cards,16554,All
S12000011,2016,Count,Cards,22362,All
S12000011,2015,Count,Cards,21174,60 years and over
S12000011,2014,Count,Cards,20576,60 years and over
S12000011,2013,Count,Cards,21968,All
S12000011,2012,Count,Cards,22457,All
S12000011,2014,Count,Cards,22343,All
S12000011,2012,Count,Cards,19415,60 years and over
S12000011,2016,Count,Cards,20517,60 years and over
S12000011,2010,Count,Cards,18753,60 years and over
S12000011,2007,Count,Cards,16356,60 years and over
S12000011,2020,Count,Cards,23420,60 years and over
S12000011,2017,Count,Cards,21203,60 years and over
S12000011,2013,Count,Cards,20442,60 years and over
S12000011,2006,Count,Cards,15053,60 years and over
S12000011,2011,Count,Cards,19032,60 years and over
S12000013,2016,Count,Cards,8093,All
S12000013,2011,Count,Cards,7642,All
S12000013,2007,Count,Cards,6407,All
S12000013,2006,Count,Cards,5715,All
S12000013,2010,Count,Cards,7475,All
S12000013,2013,Count,Cards,7671,60 years and over
S12000013,2014,Count,Cards,7778,60 years and over
S12000013,2018,Count,Cards,7980,60 years and over
S12000013,2013,Count,Cards,7966,All
S12000013,2012,Count,Cards,7839,All
S12000013,2014,Count,Cards,8131,All
S12000013,2006,Count,Cards,5410,60 years and over
S12000013,2017,Count,Cards,8185,All
S12000013,2020,Count,Cards,8154,60 years and over
S12000013,2010,Count,Cards,7053,60 years and over
S12000013,2007,Count,Cards,6059,60 years and over
S12000013,2017,Count,Cards,7804,60 years and over
S12000013,2020,Count,Cards,8483,All
S12000013,2015,Count,Cards,7948,60 years and over
S12000013,2018,Count,Cards,8390,All
S12000013,2011,Count,Cards,7211,60 years and over
S12000013,2019,Count,Cards,8115,60 years and over
S12000013,2012,Count,Cards,7395,60 years and over
S12000013,2016,Count,Cards,7724,60 years and over
S12000013,2019,Count,Cards,8522,All
S12000013,2015,Count,Cards,8334,All
S12000014,2012,Count,Cards,30876,60 years and over
S12000014,2019,Count,Cards,34588,60 years and over
S12000014,2018,Count,Cards,37957,All
S12000014,2015,Count,Cards,32930,60 years and over
S12000014,2016,Count,Cards,36796,All
S12000014,2017,Count,Cards,32173,60 years and over
S12000014,2006,Count,Cards,24955,60 years and over
S12000014,2011,Count,Cards,30113,60 years and over
S12000014,2017,Count,Cards,36595,All
S12000014,2020,Count,Cards,38853,All
S12000014,2019,Count,Cards,39403,All
S12000014,2018,Count,Cards,33365,60 years and over
S12000014,2007,Count,Cards,26696,60 years and over
S12000014,2020,Count,Cards,34864,60 years and over
S12000014,2016,Count,Cards,32507,60 years and over
S12000014,2010,Count,Cards,29752,60 years and over
S12000014,2011,Count,Cards,34926,All
S12000014,2012,Count,Cards,35962,All
S12000014,2007,Count,Cards,30181,All
S12000014,2010,Count,Cards,34266,All
S12000014,2014,Count,Cards,32504,60 years and over
S12000014,2014,Count,Cards,36527,All
S12000014,2013,Count,Cards,35640,All
S12000014,2013,Count,Cards,32287,60 years and over
S12000014,2006,Count,Cards,28121,All
S12000014,2015,Count,Cards,37236,All
S12000017,2020,Count,Cards,61307,60 years and over
S12000017,2014,Count,Cards,54557,60 years and over
S12000017,2007,Count,Cards,44460,All
S12000017,2007,Count,Cards,39485,60 years and over
S12000017,2018,Count,Cards,58779,60 years and over
S12000017,2013,Count,Cards,53980,60 years and over
S12000017,2019,Count,Cards,66443,All
S12000017,2017,Count,Cards,56583,60 years and over
S12000017,2011,Count,Cards,54792,All
S12000017,2006,Count,Cards,34718,60 years and over
S12000017,2017,Count,Cards,61973,All
S12000017,2016,Count,Cards,54419,60 years and over
S12000017,2006,Count,Cards,39062,All
S12000017,2010,Count,Cards,46733,60 years and over
S12000017,2011,Count,Cards,48828,60 years and over
S12000017,2019,Count,Cards,60742,60 years and over
S12000017,2020,Count,Cards,66151,All
S12000017,2013,Count,Cards,58101,All
S12000017,2015,Count,Cards,56032,60 years and over
S12000017,2014,Count,Cards,59307,All
S12000017,2012,Count,Cards,57030,All
S12000017,2015,Count,Cards,61053,All
S12000017,2012,Count,Cards,50802,60 years and over
S12000017,2010,Count,Cards,52426,All
S12000017,2018,Count,Cards,64276,All
S12000017,2016,Count,Cards,59642,All
S12000018,2019,Count,Cards,23845,All
S12000018,2020,Count,Cards,20571,60 years and over
S12000018,2020,Count,Cards,24056,All
S12000018,2011,Count,Cards,17242,60 years and over
S12000018,2013,Count,Cards,18401,60 years and over
S12000018,2019,Count,Cards,19907,60 years and over
S12000018,2018,Count,Cards,22811,All
S12000018,2015,Count,Cards,18729,60 years and over
S12000018,2017,Count,Cards,18120,60 years and over
S12000018,2012,Count,Cards,17462,60 years and over
S12000018,2006,Count,Cards,14368,60 years and over
S12000018,2018,Count,Cards,18919,60 years and over
S12000018,2016,Count,Cards,18127,60 years and over
S12000018,2014,Count,Cards,18359,60 years and over
S12000018,2007,Count,Cards,15580,60 years and over
S12000018,2010,Count,Cards,16962,60 years and over
S12000018,2014,Count,Cards,21860,All
S12000018,2017,Count,Cards,21994,All
S12000018,2013,Count,Cards,21513,All
S12000018,2015,Count,Cards,22497,All
S12000018,2016,Count,Cards,21932,All
S12000018,2010,Count,Cards,20849,All
S12000018,2011,Count,Cards,21196,All
S12000018,2007,Count,Cards,19180,All
S12000018,2012,Count,Cards,21588,All
S12000018,2006,Count,Cards,17670,All
S12000019,2016,Count,Cards,19558,60 years and over
S12000019,2018,Count,Cards,20574,60 years and over
S12000019,2010,Count,Cards,16968,60 years and over
S12000019,2020,Count,Cards,22372,60 years and over
S12000019,2017,Count,Cards,19770,60 years and over
S12000019,2018,Count,Cards,23485,All
S12000019,2015,Count,Cards,19414,60 years and over
S12000019,2017,Count,Cards,22615,All
S12000019,2014,Count,Cards,19056,60 years and over
S12000019,2015,Count,Cards,22045,All
S12000019,2016,Count,Cards,22304,All
S12000019,2011,Count,Cards,20542,All
S12000019,2010,Count,Cards,19783,All
S12000019,2013,Count,Cards,21251,All
S12000019,2012,Count,Cards,21154,All
S12000019,2006,Count,Cards,16257,All
S12000019,2019,Count,Cards,21624,60 years and over
S12000019,2007,Count,Cards,17715,All
S12000019,2007,Count,Cards,15043,60 years and over
S12000019,2013,Count,Cards,19136,60 years and over
S12000019,2011,Count,Cards,17640,60 years and over
S12000019,2006,Count,Cards,13730,60 years and over
S12000019,2019,Count,Cards,24695,All
S12000019,2014,Count,Cards,21560,All
S12000019,2012,Count,Cards,18132,60 years and over
S12000019,2020,Count,Cards,25053,All
S12000020,2011,Count,Cards,21491,All
S12000020,2012,Count,Cards,22088,All
S12000020,2010,Count,Cards,20781,All
S12000020,2014,Count,Cards,22762,All
S12000020,2013,Count,Cards,24099,All
S12000020,2010,Count,Cards,18706,60 years and over
S12000020,2006,Count,Cards,16395,All
S12000020,2015,Count,Cards,23194,All
S12000020,2011,Count,Cards,19396,60 years and over
S12000020,2007,Count,Cards,18292,All
S12000020,2015,Count,Cards,21415,60 years and over
S12000020,2016,Count,Cards,23036,All
S12000020,2013,Count,Cards,22727,60 years and over
S12000020,2018,Count,Cards,22685,60 years and over
S12000020,2016,Count,Cards,21123,60 years and over
S12000020,2019,Count,Cards,25534,All
S12000020,2017,Count,Cards,21845,60 years and over
S12000020,2018,Count,Cards,24710,All
S12000020,2020,Count,Cards,23653,60 years and over
S12000020,2014,Count,Cards,21095,60 years and over
S12000020,2020,Count,Cards,25499,All
S12000020,2019,Count,Cards,23391,60 years and over
S12000020,2017,Count,Cards,23810,All
S12000020,2006,Count,Cards,14720,60 years and over
S12000020,2007,Count,Cards,16393,60 years and over
S12000020,2012,Count,Cards,19923,60 years and over
S12000021,2020,Count,Cards,43277,All
S12000021,2006,Count,Cards,29648,All
S12000021,2018,Count,Cards,40881,All
