FeatureCode,DateCode,variable,value
S12000010,2011,Expenditure,6352
S12000011,2011,Expenditure,10991
S12000013,2011,Expenditure,7447
S12000014,2011,Expenditure,12307
S12000017,2011,Expenditure,31944
S12000018,2011,Expenditure,4589
S12000019,2011,Expenditure,8053
S12000020,2011,Expenditure,7973
S12000021,2011,Expenditure,11516
S12000023,2011,Expenditure,12448
S12000026,2011,Expenditure,13185
S12000027,2011,Expenditure,25759
S12000028,2011,Expenditure,11049
S12000029,2011,Expenditure,36393
S12000030,2011,Expenditure,10808
S12000033,2011,Expenditure,11077
S12000034,2011,Expenditure,25663
S12000035,2011,Expenditure,16195
S12000036,2011,Expenditure,14033
S12000038,2011,Expenditure,12403
S12000039,2011,Expenditure,6399
S12000040,2011,Expenditure,15356
S12000041,2011,Expenditure,12573
S12000042,2011,Expenditure,7805
S12000045,2011,Expenditure,8747
S12000047,2011,Expenditure,35951
S12000048,2011,Expenditure,13032
S92000003,2011,Expenditure,477228
S12000005,2012,Expenditure,3835
S12000006,2012,Expenditure,20592
S12000008,2012,Expenditure,11457
S12000010,2012,Expenditure,6885
S12000011,2012,Expenditure,10945
S12000013,2012,Expenditure,7147
S12000014,2012,Expenditure,13364
S12000017,2012,Expenditure,35322
S12000018,2012,Expenditure,6242
S12000019,2012,Expenditure,8531
S12000020,2012,Expenditure,8182
S12000021,2012,Expenditure,12411
S12000023,2012,Expenditure,11878
S12000026,2012,Expenditure,15945
S12000027,2012,Expenditure,20279
S12000028,2012,Expenditure,10926
S12000029,2012,Expenditure,36820
S12000030,2012,Expenditure,9747
S12000033,2012,Expenditure,9868
S12000034,2012,Expenditure,29948
S12000035,2012,Expenditure,14836
S12000036,2012,Expenditure,15801
S12000038,2012,Expenditure,13358
S12000039,2012,Expenditure,6507
S12000040,2012,Expenditure,16715
S12000041,2012,Expenditure,14746
S12000042,2012,Expenditure,9793
S12000045,2012,Expenditure,8360
S12000047,2012,Expenditure,36903
S12000048,2012,Expenditure,14447
S92000003,2012,Expenditure,487278
S12000005,2014,Expenditure,3212
S12000006,2014,Expenditure,18303
S12000008,2014,Expenditure,11651
S12000010,2014,Expenditure,5330
S12000011,2014,Expenditure,10462
S12000013,2014,Expenditure,7174
S12000014,2014,Expenditure,11602
S12000017,2014,Expenditure,29097
S12000018,2014,Expenditure,9543
S12000019,2014,Expenditure,6160
S12000020,2014,Expenditure,6185
S12000021,2014,Expenditure,11949
S12000023,2014,Expenditure,12633
S12000026,2014,Expenditure,14529
S12000027,2014,Expenditure,18805
S12000028,2014,Expenditure,10644
S12000029,2014,Expenditure,34661
S12000030,2014,Expenditure,9024
S12000033,2014,Expenditure,10920
S12000034,2014,Expenditure,37555
S12000035,2014,Expenditure,19134
S12000036,2014,Expenditure,14399
S12000038,2014,Expenditure,12779
S12000039,2014,Expenditure,6514
S12000040,2014,Expenditure,16328
S12000041,2014,Expenditure,12976
S12000042,2014,Expenditure,7765
S12000045,2014,Expenditure,8179
S12000047,2014,Expenditure,35030
S12000048,2014,Expenditure,12636
S92000003,2014,Expenditure,460368
S12000005,2015,Expenditure,3640
S12000006,2015,Expenditure,17527
S12000008,2015,Expenditure,10704
S12000010,2015,Expenditure,4839
S12000011,2015,Expenditure,9827
S12000013,2015,Expenditure,7705
S12000014,2015,Expenditure,11154
S12000017,2015,Expenditure,27589
S12000018,2015,Expenditure,9247
S12000019,2015,Expenditure,3627
S12000020,2015,Expenditure,6150
S12000021,2015,Expenditure,12199
S12000023,2015,Expenditure,12500
S12000026,2015,Expenditure,14214
S12000027,2015,Expenditure,23456
S12000028,2015,Expenditure,10764
S12000029,2015,Expenditure,35195
S12000030,2015,Expenditure,8772
S12000033,2015,Expenditure,10576
S12000034,2015,Expenditure,36418
S12000035,2015,Expenditure,14205
S12000036,2015,Expenditure,13091
S12000038,2015,Expenditure,13330
S12000039,2015,Expenditure,6719
S12000040,2015,Expenditure,16869
S12000041,2015,Expenditure,12996
S12000042,2015,Expenditure,9081
S12000045,2015,Expenditure,8249
S12000047,2015,Expenditure,33847
S12000048,2015,Expenditure,13561
S92000003,2015,Expenditure,459044
S12000005,2016,Expenditure,2138
S12000006,2016,Expenditure,13425
S12000008,2016,Expenditure,10553
S12000010,2016,Expenditure,5192
S12000011,2016,Expenditure,9932
S12000013,2016,Expenditure,6832
S12000014,2016,Expenditure,10824
S12000017,2016,Expenditure,26577
S12000018,2016,Expenditure,4920
S12000019,2016,Expenditure,6102
S12000020,2016,Expenditure,5849
S12000021,2016,Expenditure,11488
S12000023,2016,Expenditure,12561
S12000026,2016,Expenditure,13618
S12000027,2016,Expenditure,23327
S12000028,2016,Expenditure,10443
S12000029,2016,Expenditure,27714
S12000030,2016,Expenditure,8385
S12000033,2016,Expenditure,10686
S12000034,2016,Expenditure,24172
