FeatureCode,DateCode,Measurement,Units,Value,Indicator (road network traffic)
S12000026,2013,Count,Vehicle Kilometres,1183.5,The Total Million Vehicle Kilometres On Scottish Roads
S12000023,2016,Count,Vehicle Kilometres,153.29,The Total Million Vehicle Kilometres On Scottish Roads
S12000035,2009,Count,Vehicle Kilometres,900,The Total Million Vehicle Kilometres On Scottish Roads
S12000035,2008,Count,Vehicle Kilometres,904,The Total Million Vehicle Kilometres On Scottish Roads
S12000023,2017,Count,Vehicle Kilometres,156.97,The Total Million Vehicle Kilometres On Scottish Roads
S12000023,2014,Count,Vehicle Kilometres,144.55,The Total Million Vehicle Kilometres On Scottish Roads
S12000035,2019,Count,Vehicle Kilometres,991.26,The Total Million Vehicle Kilometres On Scottish Roads
S12000035,2012,Count,Vehicle Kilometres,871.01,The Total Million Vehicle Kilometres On Scottish Roads
S12000023,2015,Count,Vehicle Kilometres,149.1,The Total Million Vehicle Kilometres On Scottish Roads
S12000035,2013,Count,Vehicle Kilometres,886.17,The Total Million Vehicle Kilometres On Scottish Roads
S12000026,2012,Count,Vehicle Kilometres,1171.12,The Total Million Vehicle Kilometres On Scottish Roads
S12000026,2017,Count,Vehicle Kilometres,1319.37,The Total Million Vehicle Kilometres On Scottish Roads
S12000026,2008,Count,Vehicle Kilometres,1196,The Total Million Vehicle Kilometres On Scottish Roads
S12000034,2006,Count,Vehicle Kilometres,2753,The Total Million Vehicle Kilometres On Scottish Roads
S12000026,2007,Count,Vehicle Kilometres,1212,The Total Million Vehicle Kilometres On Scottish Roads
S12000035,2017,Count,Vehicle Kilometres,1000.26,The Total Million Vehicle Kilometres On Scottish Roads
S12000035,2015,Count,Vehicle Kilometres,938.16,The Total Million Vehicle Kilometres On Scottish Roads
S12000026,2006,Count,Vehicle Kilometres,1193,The Total Million Vehicle Kilometres On Scottish Roads
S12000034,2019,Count,Vehicle Kilometres,3341.58,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,2015,Count,Vehicle Kilometres,2092.47,The Total Million Vehicle Kilometres On Scottish Roads
S12000049,2014,Count,Vehicle Kilometres,3495.57,The Total Million Vehicle Kilometres On Scottish Roads
S12000008,2009,Count,Vehicle Kilometres,1037,The Total Million Vehicle Kilometres On Scottish Roads
S12000008,2010,Count,Vehicle Kilometres,1036.66,The Total Million Vehicle Kilometres On Scottish Roads
S12000049,2007,Count,Vehicle Kilometres,3508,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,2017,Count,Vehicle Kilometres,2267.83,The Total Million Vehicle Kilometres On Scottish Roads
S12000049,2006,Count,Vehicle Kilometres,3442,The Total Million Vehicle Kilometres On Scottish Roads
S12000008,2016,Count,Vehicle Kilometres,1086.76,The Total Million Vehicle Kilometres On Scottish Roads
S12000050,2009,Count,Vehicle Kilometres,3025,The Total Million Vehicle Kilometres On Scottish Roads
S12000050,2010,Count,Vehicle Kilometres,2998.85,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,2014,Count,Vehicle Kilometres,1770.3,The Total Million Vehicle Kilometres On Scottish Roads
S12000049,2013,Count,Vehicle Kilometres,3480.95,The Total Million Vehicle Kilometres On Scottish Roads
S12000047,2014,Count,Vehicle Kilometres,2929.81,The Total Million Vehicle Kilometres On Scottish Roads
S12000047,2017,Count,Vehicle Kilometres,3123.77,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,2012,Count,Vehicle Kilometres,1935.33,The Total Million Vehicle Kilometres On Scottish Roads
S12000048,2009,Count,Vehicle Kilometres,2292,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,2018,Count,Vehicle Kilometres,1948.03,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,2016,Count,Vehicle Kilometres,2147.45,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,2013,Count,Vehicle Kilometres,1967.49,The Total Million Vehicle Kilometres On Scottish Roads
S12000049,2019,Count,Vehicle Kilometres,3558.59,The Total Million Vehicle Kilometres On Scottish Roads
S12000048,2010,Count,Vehicle Kilometres,2250.12,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,2006,Count,Vehicle Kilometres,1698,The Total Million Vehicle Kilometres On Scottish Roads
S12000048,2011,Count,Vehicle Kilometres,2268.1,The Total Million Vehicle Kilometres On Scottish Roads
S12000048,2007,Count,Vehicle Kilometres,2351,The Total Million Vehicle Kilometres On Scottish Roads
S12000048,2008,Count,Vehicle Kilometres,2303,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,2019,Count,Vehicle Kilometres,2246.77,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,2017,Count,Vehicle Kilometres,1903.63,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,2016,Count,Vehicle Kilometres,1838.8,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,2010,Count,Vehicle Kilometres,1717.03,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,2012,Count,Vehicle Kilometres,1710.59,The Total Million Vehicle Kilometres On Scottish Roads
S12000050,2006,Count,Vehicle Kilometres,2957,The Total Million Vehicle Kilometres On Scottish Roads
S12000050,2007,Count,Vehicle Kilometres,3049,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,2009,Count,Vehicle Kilometres,1747,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,2011,Count,Vehicle Kilometres,1717.94,The Total Million Vehicle Kilometres On Scottish Roads
S12000047,2015,Count,Vehicle Kilometres,2953.19,The Total Million Vehicle Kilometres On Scottish Roads
S12000008,2015,Count,Vehicle Kilometres,1085.21,The Total Million Vehicle Kilometres On Scottish Roads
S12000008,2007,Count,Vehicle Kilometres,901,The Total Million Vehicle Kilometres On Scottish Roads
S12000008,2006,Count,Vehicle Kilometres,907,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,2013,Count,Vehicle Kilometres,1730.11,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,2008,Count,Vehicle Kilometres,1761,The Total Million Vehicle Kilometres On Scottish Roads
S12000050,2018,Count,Vehicle Kilometres,3349.27,The Total Million Vehicle Kilometres On Scottish Roads
S12000047,2010,Count,Vehicle Kilometres,2851.93,The Total Million Vehicle Kilometres On Scottish Roads
S12000047,2012,Count,Vehicle Kilometres,2812.7,The Total Million Vehicle Kilometres On Scottish Roads
S12000008,2011,Count,Vehicle Kilometres,1033.46,The Total Million Vehicle Kilometres On Scottish Roads
S12000047,2019,Count,Vehicle Kilometres,3123.32,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,2015,Count,Vehicle Kilometres,1816.4,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,2019,Count,Vehicle Kilometres,1951.6,The Total Million Vehicle Kilometres On Scottish Roads
S12000050,2008,Count,Vehicle Kilometres,3060,The Total Million Vehicle Kilometres On Scottish Roads
S12000047,2011,Count,Vehicle Kilometres,2847.16,The Total Million Vehicle Kilometres On Scottish Roads
S12000008,2012,Count,Vehicle Kilometres,1022.25,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,2007,Count,Vehicle Kilometres,1742,The Total Million Vehicle Kilometres On Scottish Roads
S12000008,2017,Count,Vehicle Kilometres,1133.07,The Total Million Vehicle Kilometres On Scottish Roads
S12000008,2018,Count,Vehicle Kilometres,1146.8,The Total Million Vehicle Kilometres On Scottish Roads
S12000008,2013,Count,Vehicle Kilometres,1029.55,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,2009,Count,Vehicle Kilometres,44219,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,2018,Count,Vehicle Kilometres,333.7,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,2012,Count,Vehicle Kilometres,311.31,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,2010,Count,Vehicle Kilometres,43495.66,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,2009,Count,Vehicle Kilometres,331,The Total Million Vehicle Kilometres On Scottish Roads
S12000048,2014,Count,Vehicle Kilometres,2362.39,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,2006,Count,Vehicle Kilometres,44119,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,2019,Count,Vehicle Kilometres,48714.21,The Total Million Vehicle Kilometres On Scottish Roads
S12000049,2018,Count,Vehicle Kilometres,3506.58,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,2016,Count,Vehicle Kilometres,325.97,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,2011,Count,Vehicle Kilometres,315.25,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,2019,Count,Vehicle Kilometres,338.52,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,2013,Count,Vehicle Kilometres,303.63,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,2013,Count,Vehicle Kilometres,43909.35,The Total Million Vehicle Kilometres On Scottish Roads
S12000049,2008,Count,Vehicle Kilometres,3527,The Total Million Vehicle Kilometres On Scottish Roads
S12000049,2010,Count,Vehicle Kilometres,3314.82,The Total Million Vehicle Kilometres On Scottish Roads
S12000049,2009,Count,Vehicle Kilometres,3485,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,2008,Count,Vehicle Kilometres,317,The Total Million Vehicle Kilometres On Scottish Roads
S12000049,2012,Count,Vehicle Kilometres,3448.94,The Total Million Vehicle Kilometres On Scottish Roads
S12000049,2011,Count,Vehicle Kilometres,3311.81,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,2015,Count,Vehicle Kilometres,320.24,The Total Million Vehicle Kilometres On Scottish Roads
S12000048,2016,Count,Vehicle Kilometres,2519.88,The Total Million Vehicle Kilometres On Scottish Roads
S12000048,2018,Count,Vehicle Kilometres,2646.81,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,2010,Count,Vehicle Kilometres,313.4,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,2007,Count,Vehicle Kilometres,313,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,2006,Count,Vehicle Kilometres,303,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,2007,Count,Vehicle Kilometres,44666,The Total Million Vehicle Kilometres On Scottish Roads
S12000048,2017,Count,Vehicle Kilometres,2668.94,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,2018,Count,Vehicle Kilometres,2238.19,The Total Million Vehicle Kilometres On Scottish Roads
S12000049,2015,Count,Vehicle Kilometres,3454.39,The Total Million Vehicle Kilometres On Scottish Roads
S12000048,2013,Count,Vehicle Kilometres,2277.59,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,2008,Count,Vehicle Kilometres,44470,The Total Million Vehicle Kilometres On Scottish Roads
S12000048,2019,Count,Vehicle Kilometres,2619.05,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,2010,Count,Vehicle Kilometres,1976.93,The Total Million Vehicle Kilometres On Scottish Roads
S12000048,2006,Count,Vehicle Kilometres,2328,The Total Million Vehicle Kilometres On Scottish Roads
S12000049,2017,Count,Vehicle Kilometres,3536.19,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,2011,Count,Vehicle Kilometres,1968.04,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,2009,Count,Vehicle Kilometres,1998,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,2011,Count,Vehicle Kilometres,43405.92,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,2007,Count,Vehicle Kilometres,2021,The Total Million Vehicle Kilometres On Scottish Roads
S12000048,2012,Count,Vehicle Kilometres,2231.3,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,2017,Count,Vehicle Kilometres,331,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,2016,Count,Vehicle Kilometres,46695.54,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,2018,Count,Vehicle Kilometres,48174.79,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,2008,Count,Vehicle Kilometres,2021,The Total Million Vehicle Kilometres On Scottish Roads
S12000048,2015,Count,Vehicle Kilometres,2410.49,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,2014,Count,Vehicle Kilometres,44962.51,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,2014,Count,Vehicle Kilometres,315.17,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,2012,Count,Vehicle Kilometres,43572.84,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,2015,Count,Vehicle Kilometres,45554.91,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,2017,Count,Vehicle Kilometres,48035.78,The Total Million Vehicle Kilometres On Scottish Roads
S12000049,2016,Count,Vehicle Kilometres,3519.34,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,2006,Count,Vehicle Kilometres,1979,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,2014,Count,Vehicle Kilometres,2035.25,The Total Million Vehicle Kilometres On Scottish Roads
S12000010,2017,Count,Vehicle Kilometres,1019.57,The Total Million Vehicle Kilometres On Scottish Roads
S12000010,2019,Count,Vehicle Kilometres,1036.48,The Total Million Vehicle Kilometres On Scottish Roads
S12000039,2017,Count,Vehicle Kilometres,655.08,The Total Million Vehicle Kilometres On Scottish Roads
S12000010,2016,Count,Vehicle Kilometres,939.4,The Total Million Vehicle Kilometres On Scottish Roads
S12000050,2015,Count,Vehicle Kilometres,3062.34,The Total Million Vehicle Kilometres On Scottish Roads
S12000039,2006,Count,Vehicle Kilometres,637,The Total Million Vehicle Kilometres On Scottish Roads
S12000045,2019,Count,Vehicle Kilometres,562.34,The Total Million Vehicle Kilometres On Scottish Roads
S12000010,2018,Count,Vehicle Kilometres,1024.03,The Total Million Vehicle Kilometres On Scottish Roads
S12000045,2018,Count,Vehicle Kilometres,561.81,The Total Million Vehicle Kilometres On Scottish Roads
S12000010,2015,Count,Vehicle Kilometres,897.72,The Total Million Vehicle Kilometres On Scottish Roads
S12000039,2013,Count,Vehicle Kilometres,628.74,The Total Million Vehicle Kilometres On Scottish Roads
S12000045,2015,Count,Vehicle Kilometres,529.56,The Total Million Vehicle Kilometres On Scottish Roads
S12000047,2009,Count,Vehicle Kilometres,2894,The Total Million Vehicle Kilometres On Scottish Roads
S12000050,2016,Count,Vehicle Kilometres,3108.47,The Total Million Vehicle Kilometres On Scottish Roads
S12000050,2014,Count,Vehicle Kilometres,3114.81,The Total Million Vehicle Kilometres On Scottish Roads
S12000039,2014,Count,Vehicle Kilometres,644.41,The Total Million Vehicle Kilometres On Scottish Roads
S12000050,2017,Count,Vehicle Kilometres,3260.84,The Total Million Vehicle Kilometres On Scottish Roads
S12000010,2008,Count,Vehicle Kilometres,880,The Total Million Vehicle Kilometres On Scottish Roads
S12000010,2014,Count,Vehicle Kilometres,883.65,The Total Million Vehicle Kilometres On Scottish Roads
S12000050,2019,Count,Vehicle Kilometres,3335.65,The Total Million Vehicle Kilometres On Scottish Roads
S12000050,2012,Count,Vehicle Kilometres,3229.12,The Total Million Vehicle Kilometres On Scottish Roads
S12000050,2011,Count,Vehicle Kilometres,2954.55,The Total Million Vehicle Kilometres On Scottish Roads
S12000039,2015,Count,Vehicle Kilometres,651.56,The Total Million Vehicle Kilometres On Scottish Roads
S12000050,2013,Count,Vehicle Kilometres,3216.23,The Total Million Vehicle Kilometres On Scottish Roads
S12000039,2010,Count,Vehicle Kilometres,631.26,The Total Million Vehicle Kilometres On Scottish Roads
S12000011,2013,Count,Vehicle Kilometres,737.39,The Total Million Vehicle Kilometres On Scottish Roads
S12000011,2017,Count,Vehicle Kilometres,788.21,The Total Million Vehicle Kilometres On Scottish Roads
S12000045,2007,Count,Vehicle Kilometres,556,The Total Million Vehicle Kilometres On Scottish Roads
S12000011,2019,Count,Vehicle Kilometres,785.19,The Total Million Vehicle Kilometres On Scottish Roads
S12000039,2019,Count,Vehicle Kilometres,664.77,The Total Million Vehicle Kilometres On Scottish Roads
S12000039,2012,Count,Vehicle Kilometres,632.15,The Total Million Vehicle Kilometres On Scottish Roads
S12000011,2016,Count,Vehicle Kilometres,792.07,The Total Million Vehicle Kilometres On Scottish Roads
S12000039,2011,Count,Vehicle Kilometres,631.87,The Total Million Vehicle Kilometres On Scottish Roads
S12000011,2011,Count,Vehicle Kilometres,750.92,The Total Million Vehicle Kilometres On Scottish Roads
S12000045,2009,Count,Vehicle Kilometres,547,The Total Million Vehicle Kilometres On Scottish Roads
S12000011,2006,Count,Vehicle Kilometres,766,The Total Million Vehicle Kilometres On Scottish Roads
S12000039,2007,Count,Vehicle Kilometres,629,The Total Million Vehicle Kilometres On Scottish Roads
S12000011,2015,Count,Vehicle Kilometres,776.7,The Total Million Vehicle Kilometres On Scottish Roads
S12000011,2018,Count,Vehicle Kilometres,792.14,The Total Million Vehicle Kilometres On Scottish Roads
S12000039,2018,Count,Vehicle Kilometres,665.51,The Total Million Vehicle Kilometres On Scottish Roads
S12000039,2008,Count,Vehicle Kilometres,630,The Total Million Vehicle Kilometres On Scottish Roads
S12000010,2009,Count,Vehicle Kilometres,862,The Total Million Vehicle Kilometres On Scottish Roads
S12000011,2010,Count,Vehicle Kilometres,726.09,The Total Million Vehicle Kilometres On Scottish Roads
S12000045,2008,Count,Vehicle Kilometres,547,The Total Million Vehicle Kilometres On Scottish Roads
S12000011,2009,Count,Vehicle Kilometres,749,The Total Million Vehicle Kilometres On Scottish Roads
S12000045,2016,Count,Vehicle Kilometres,535.36,The Total Million Vehicle Kilometres On Scottish Roads
S12000039,2009,Count,Vehicle Kilometres,646,The Total Million Vehicle Kilometres On Scottish Roads
S12000011,2008,Count,Vehicle Kilometres,752,The Total Million Vehicle Kilometres On Scottish Roads
S12000010,2013,Count,Vehicle Kilometres,848.32,The Total Million Vehicle Kilometres On Scottish Roads
S12000010,2012,Count,Vehicle Kilometres,841.02,The Total Million Vehicle Kilometres On Scottish Roads
S12000047,2008,Count,Vehicle Kilometres,2891,The Total Million Vehicle Kilometres On Scottish Roads
S12000047,2006,Count,Vehicle Kilometres,2862,The Total Million Vehicle Kilometres On Scottish Roads
S12000039,2016,Count,Vehicle Kilometres,658.16,The Total Million Vehicle Kilometres On Scottish Roads
S12000010,2006,Count,Vehicle Kilometres,879,The Total Million Vehicle Kilometres On Scottish Roads
S12000047,2018,Count,Vehicle Kilometres,3087.82,The Total Million Vehicle Kilometres On Scottish Roads
S12000047,2007,Count,Vehicle Kilometres,2911,The Total Million Vehicle Kilometres On Scottish Roads
S12000047,2016,Count,Vehicle Kilometres,3027.28,The Total Million Vehicle Kilometres On Scottish Roads
S12000010,2007,Count,Vehicle Kilometres,918,The Total Million Vehicle Kilometres On Scottish Roads
S12000008,2019,Count,Vehicle Kilometres,1146.29,The Total Million Vehicle Kilometres On Scottish Roads
S12000047,2013,Count,Vehicle Kilometres,2844.99,The Total Million Vehicle Kilometres On Scottish Roads
S12000010,2010,Count,Vehicle Kilometres,857.64,The Total Million Vehicle Kilometres On Scottish Roads
S12000008,2014,Count,Vehicle Kilometres,1073.25,The Total Million Vehicle Kilometres On Scottish Roads
S12000008,2008,Count,Vehicle Kilometres,1039,The Total Million Vehicle Kilometres On Scottish Roads
S12000010,2011,Count,Vehicle Kilometres,857.93,The Total Million Vehicle Kilometres On Scottish Roads
S12000034,2006,Ratio,Percent Of Roads,39,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000034,2009,Ratio,Percent Of Roads,25.9,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000049,2003,Ratio,Driver Journeys,13.2,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000034,2007,Ratio,Percent Of Roads,27,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000034,2013,Ratio,Percent Of Roads,26.3,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000034,2012,Ratio,Percent Of Roads,24.3,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000034,2018,Ratio,Driver Journeys,14,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000034,2019,Ratio,Percent Of Roads,26.3,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000030,2008,Ratio,Percent Of Roads,44.7,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000034,2019,Ratio,Driver Journeys,10,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000030,2016,Ratio,Percent Of Roads,43.8,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000034,2018,Ratio,Percent Of Roads,27.1,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000034,2013,Ratio,Driver Journeys,12.8,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000034,2007,Ratio,Driver Journeys,12.7,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000034,2012,Ratio,Driver Journeys,12.9,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000030,2011,Ratio,Percent Of Roads,42.3,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000034,2005,Ratio,Driver Journeys,10.7,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000030,2015,Ratio,Percent Of Roads,44.2,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000049,2018,Ratio,Percent Of Roads,29.3,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000034,2015,Ratio,Percent Of Roads,24.9,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000034,2017,Ratio,Driver Journeys,14.6,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000050,2006,Ratio,Percent Of Roads,48,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000050,2018,Ratio,Driver Journeys,16,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000050,2017,Ratio,Percent Of Roads,32.8,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000049,2007,Ratio,Percent Of Roads,25,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000030,2014,Ratio,Percent Of Roads,35.6,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000034,2009,Ratio,Driver Journeys,11.5,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000030,2007,Ratio,Percent Of Roads,47,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000035,2007,Ratio,Driver Journeys,7.6,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000033,2015,Ratio,Driver Journeys,16.4,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000035,2005,Ratio,Driver Journeys,5.4,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000035,2015,Ratio,Driver Journeys,5.6,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000035,2016,Ratio,Percent Of Roads,55.3,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000050,2014,Ratio,Driver Journeys,9.7,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000049,2009,Ratio,Driver Journeys,14.07,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000050,2015,Ratio,Driver Journeys,17.1,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000049,2011,Ratio,Percent Of Roads,30.9,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000030,2009,Ratio,Percent Of Roads,44.5,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000035,2018,Ratio,Driver Journeys,4,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000035,2003,Ratio,Driver Journeys,3.6,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000050,2013,Ratio,Percent Of Roads,31.8,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000049,2005,Ratio,Driver Journeys,18.1,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000050,2016,Ratio,Driver Journeys,16.3,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000033,2016,Ratio,Driver Journeys,19.6,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000049,2007,Ratio,Driver Journeys,19.9,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000049,2019,Ratio,Driver Journeys,15,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000050,2012,Ratio,Percent Of Roads,32,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000033,2017,Ratio,Percent Of Roads,30.3,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000035,2018,Ratio,Percent Of Roads,54.5,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000033,2013,Ratio,Driver Journeys,18.5,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000035,2019,Ratio,Driver Journeys,6,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000035,2015,Ratio,Percent Of Roads,54.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000049,2012,Ratio,Driver Journeys,8.8,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000030,2013,Ratio,Percent Of Roads,35.6,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000049,2013,Ratio,Percent Of Roads,33,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000050,2009,Ratio,Percent Of Roads,32.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000033,2011,Ratio,Percent Of Roads,32.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000049,2008,Ratio,Percent Of Roads,25.5,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000049,2012,Ratio,Percent Of Roads,32.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000033,2014,Ratio,Driver Journeys,19.2,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000033,2003,Ratio,Driver Journeys,18.3,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000034,2008,Ratio,Percent Of Roads,22.7,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000034,2016,Ratio,Percent Of Roads,24.9,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000034,2011,Ratio,Percent Of Roads,24.7,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000049,2014,Ratio,Driver Journeys,9,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000034,2003,Ratio,Driver Journeys,8.4,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000033,2009,Ratio,Driver Journeys,18.15,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000050,2009,Ratio,Driver Journeys,14.45,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000049,2009,Ratio,Percent Of Roads,29.7,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000049,2015,Ratio,Driver Journeys,12.8,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000034,2016,Ratio,Driver Journeys,15.8,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000050,2019,Ratio,Driver Journeys,15,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000050,2019,Ratio,Percent Of Roads,30.7,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000033,2014,Ratio,Percent Of Roads,27,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000034,2017,Ratio,Percent Of Roads,26.2,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000033,2006,Ratio,Percent Of Roads,39,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000034,2014,Ratio,Percent Of Roads,26.3,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
