FeatureCode,DateCode,Measurement,Units,Value,Indicator (road network traffic)
S12000019,2016,Count,Vehicle Kilometres,700.24,The Total Million Vehicle Kilometres On Scottish Roads
S12000019,2007,Count,Vehicle Kilometres,649,The Total Million Vehicle Kilometres On Scottish Roads
S12000036,2016,Count,Vehicle Kilometres,2981.26,The Total Million Vehicle Kilometres On Scottish Roads
S12000019,2008,Count,Vehicle Kilometres,649,The Total Million Vehicle Kilometres On Scottish Roads
S12000036,2018,Count,Vehicle Kilometres,3075.39,The Total Million Vehicle Kilometres On Scottish Roads
S12000019,2015,Count,Vehicle Kilometres,682.68,The Total Million Vehicle Kilometres On Scottish Roads
S12000019,2009,Count,Vehicle Kilometres,661,The Total Million Vehicle Kilometres On Scottish Roads
S12000019,2010,Count,Vehicle Kilometres,653.46,The Total Million Vehicle Kilometres On Scottish Roads
S12000019,2011,Count,Vehicle Kilometres,656.25,The Total Million Vehicle Kilometres On Scottish Roads
S12000019,2013,Count,Vehicle Kilometres,648.07,The Total Million Vehicle Kilometres On Scottish Roads
S12000013,2016,Count,Vehicle Kilometres,252.62,The Total Million Vehicle Kilometres On Scottish Roads
S12000042,2013,Count,Vehicle Kilometres,828.56,The Total Million Vehicle Kilometres On Scottish Roads
S12000013,2013,Count,Vehicle Kilometres,209.85,The Total Million Vehicle Kilometres On Scottish Roads
S12000013,2019,Count,Vehicle Kilometres,232.97,The Total Million Vehicle Kilometres On Scottish Roads
S12000042,2014,Count,Vehicle Kilometres,824.88,The Total Million Vehicle Kilometres On Scottish Roads
S12000013,2010,Count,Vehicle Kilometres,203.31,The Total Million Vehicle Kilometres On Scottish Roads
S12000013,2012,Count,Vehicle Kilometres,205.19,The Total Million Vehicle Kilometres On Scottish Roads
S12000013,2009,Count,Vehicle Kilometres,206,The Total Million Vehicle Kilometres On Scottish Roads
S12000013,2011,Count,Vehicle Kilometres,203.72,The Total Million Vehicle Kilometres On Scottish Roads
S12000014,2018,Count,Vehicle Kilometres,1649.02,The Total Million Vehicle Kilometres On Scottish Roads
S12000014,2017,Count,Vehicle Kilometres,1649.33,The Total Million Vehicle Kilometres On Scottish Roads
S12000042,2016,Count,Vehicle Kilometres,825.5,The Total Million Vehicle Kilometres On Scottish Roads
S12000042,2010,Count,Vehicle Kilometres,859.18,The Total Million Vehicle Kilometres On Scottish Roads
S12000042,2006,Count,Vehicle Kilometres,882,The Total Million Vehicle Kilometres On Scottish Roads
S12000042,2009,Count,Vehicle Kilometres,885,The Total Million Vehicle Kilometres On Scottish Roads
S12000042,2018,Count,Vehicle Kilometres,829.16,The Total Million Vehicle Kilometres On Scottish Roads
S12000042,2015,Count,Vehicle Kilometres,818.8,The Total Million Vehicle Kilometres On Scottish Roads
S12000042,2008,Count,Vehicle Kilometres,902,The Total Million Vehicle Kilometres On Scottish Roads
S12000011,2007,Count,Vehicle Kilometres,794,The Total Million Vehicle Kilometres On Scottish Roads
S12000045,2013,Count,Vehicle Kilometres,514.49,The Total Million Vehicle Kilometres On Scottish Roads
S12000011,2014,Count,Vehicle Kilometres,756.65,The Total Million Vehicle Kilometres On Scottish Roads
S12000011,2012,Count,Vehicle Kilometres,735.13,The Total Million Vehicle Kilometres On Scottish Roads
S12000045,2017,Count,Vehicle Kilometres,558.11,The Total Million Vehicle Kilometres On Scottish Roads
S12000045,2011,Count,Vehicle Kilometres,528.03,The Total Million Vehicle Kilometres On Scottish Roads
S12000045,2012,Count,Vehicle Kilometres,521.07,The Total Million Vehicle Kilometres On Scottish Roads
S12000045,2010,Count,Vehicle Kilometres,531.74,The Total Million Vehicle Kilometres On Scottish Roads
S12000045,2006,Count,Vehicle Kilometres,541,The Total Million Vehicle Kilometres On Scottish Roads
S12000013,2014,Count,Vehicle Kilometres,218.36,The Total Million Vehicle Kilometres On Scottish Roads
S12000042,2019,Count,Vehicle Kilometres,829.4,The Total Million Vehicle Kilometres On Scottish Roads
S12000013,2006,Count,Vehicle Kilometres,204,The Total Million Vehicle Kilometres On Scottish Roads
S12000013,2015,Count,Vehicle Kilometres,224.42,The Total Million Vehicle Kilometres On Scottish Roads
S12000013,2008,Count,Vehicle Kilometres,205,The Total Million Vehicle Kilometres On Scottish Roads
S12000013,2017,Count,Vehicle Kilometres,237.57,The Total Million Vehicle Kilometres On Scottish Roads
S12000045,2014,Count,Vehicle Kilometres,529.12,The Total Million Vehicle Kilometres On Scottish Roads
S12000013,2007,Count,Vehicle Kilometres,209,The Total Million Vehicle Kilometres On Scottish Roads
S12000013,2018,Count,Vehicle Kilometres,236.01,The Total Million Vehicle Kilometres On Scottish Roads
S12000017,2006,Count,Vehicle Kilometres,2546,The Total Million Vehicle Kilometres On Scottish Roads
S12000017,2009,Count,Vehicle Kilometres,2623,The Total Million Vehicle Kilometres On Scottish Roads
S12000017,2012,Count,Vehicle Kilometres,2567.69,The Total Million Vehicle Kilometres On Scottish Roads
S12000017,2015,Count,Vehicle Kilometres,2756.89,The Total Million Vehicle Kilometres On Scottish Roads
